Measure Mode: wall_time
Thread ID: 16046480
Fiber ID: 30270920
Total: 0.091710
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000        2   Kernel#instance_of?
  0.00      0.000     0.000     0.000     0.000        1   <Class::NewRelic::Agent::Configuration::DefaultSource>#normalize_json_string_encodings
  0.00      0.000     0.000     0.000     0.000        1   <Class::NewRelic::Agent::Configuration::DefaultSource>#browser_monitoring_loader
  0.00      0.000     0.000     0.000     0.000        1   <Class::NewRelic::Agent::Configuration::DefaultSource>#transaction_tracer_transaction_threshold
  0.00      0.000     0.000     0.000     0.000        1   <Class::NewRelic::Agent::Configuration::DefaultSource>#audit_log_path
  0.00      0.000     0.000     0.000     0.000        1   <Class::NewRelic::Agent::Configuration::DefaultSource>#port
  0.00      0.000     0.000     0.000     0.000        1   <Class::NewRelic::Agent::Configuration::DefaultSource>#profiling_available
  0.00      0.000     0.000     0.000     0.000        1   <Class::NewRelic::Agent::Configuration::DefaultSource>#app_name
  0.00      0.000     0.000     0.000     0.000        5   Fixnum#<<
  0.00      0.000     0.000     0.000     0.000        1   Fixnum#+
  0.00      0.000     0.000     0.000     0.000        1   Thread#[]
  0.00      0.000     0.000     0.000     0.000        1   <Class::NewRelic::Agent::Configuration::DefaultSource>#config_search_paths
  0.00      0.000     0.000     0.000     0.000        1   String#<=>

* indicates recursively called methods
